compressionRatio,priority
1,Filip
2,Bren
3,Mariellen
4,Sylas
5,Alis
6,Colman
7,Carmella
8,Perrine
9,Tersina
10,Berton
11,Jory
12,Uriel
13,Tildie
14,Shirley
15,Dierdre
16,Gian
17,Halie
18,Joshua
19,Kalli
20,Corie
21,Fidela
22,Aleen
23,Suzanna
24,Quint
25,Desmund
26,Helge
27,Anna-diane
28,Kirsteni
29,Maggi
30,Daven
31,Carla
32,Clarke
33,Shaughn
34,Julita
35,Lucho
36,Sara-ann
37,Hilda
38,Madel
39,Pierre
40,Lexis
41,Myrah
42,Kimble
43,Jeddy
44,Gradeigh
45,Enid
46,Teodorico
47,Hale
48,Gaspar
49,Mayer
50,Allayne
51,Josselyn
52,Jessamyn
53,Sayre
54,Storm
55,Kizzie
56,Mace
57,Agnella
58,Beryle
59,Kelila
60,Giustino
61,Catlee
62,Eleanora
63,Nola
64,Kellen
65,Katha
66,Orazio
67,Craggy
68,Alecia
69,Sherrie
70,Donovan
71,Nikkie
72,Tobias
73,Moses
74,Electra
75,Ginni
76,Krissie
77,Celestine
78,Marshall
79,Faina
80,Elnora
81,Brittany
82,Cindy
83,Sigismund
84,Felizio
85,Oliviero
86,Annnora
87,Fransisco
88,Anthe
89,Ryun
90,Shelby
91,Dion
92,Andria
93,Deeanne
94,Alma
95,Lynda
96,Zahara
97,Rodge
98,Cordey
99,Tersina
100,Charles
